Product Name,Price
"Infinix Note 30 Pro 4G, 6.67"", 256GB + 8GB RAM (Dual SIM), 5000mAh, Magic Black","KSh 22,500"
"Samsung Galaxy A05s, 6.7"", 64GB + 4GB (Dual SIM), 5000mAh, Black","KSh 13,400"
XIAOMI Redmi A3 Dual Sim (3GB RAM+64 ROM GB) - Midnight Black (1YR WRTY),"KSh 10,600"
"Vitron HTC3200S 32"" Smart Frameless Android LED TV (1YR WRTY)","KSh 11,599"
"Vitron HTC4388FS - 43"" Smart  Android Frameless TV - Black (1YR WRTY)","KSh 19,499"
"AILYONS ECS2403 2.1CH SubWoofer Home Theatrer Multi Media Speaker System, 1YR WRTY","KSh 2,399"
"AILYONS ECS2401 2.1CH SubWoofer Home Theatrer Multi Media Speaker System, 1YR WRTY","KSh 2,299"
"Amtec 43L12, 43"" FHD Smart Android TV, Netfix, Youtube, Bluetooth - Black","KSh 18,571"
"Skyworth 43E3A, 43-inches Full HD Frameless Smart Android TV, Black (1YR WRTY)","KSh 27,499"
"AILYONS LST3208W 32"" Smart Android FHD Frameless TV - HDMI, 1YR WRTY","KSh 10,649"
"Skyworth 50G3A, 50&Prime; 4K UHD Frameless Smart Android TV &ndash; Black (1YR WRTY)","KSh 39,999"
Hikers 32'' Inch Frameless Android Smart HD LED TV - Black,"KSh 10,699"
AILYONS FK-0301 Stainless Steel 1.8L Electric Kettle-Silver. (1YR WRTY),KSh 599
AILYONS GS013-2 Gas Cooker Stainless Steel Double Burner Black (1YR WRTY),"KSh 1,599"
Vitron VB-Y44 - 2in1 Blender - 1.5L - 350W - White & Yellow (1YR WRTY),"KSh 1,599"
AILYONS FK-0310 Stainless Steel 2.2L Electric Water Kettle-Black (1YR WRTY),KSh 845
Vitron VB-886 - 2in1 Blender - 1.5L - 350W - White (1YR WRTY),"KSh 1,688"
Ramtons RF/334 - Single Door Refrigerator - 85Liters Dark Silver,"KSh 17,499"
VON Von 5534 4 Gas Cooker + Gas Oven 55x55 - Brown (1YR WRTY),"KSh 19,499"
Nunix 138L Double Door Fridge Energy Efficient,"KSh 28,050"
"Vitron VDR128DS, 125 Liters Double Door Fridge - Silver Hairline (1YR WRTY)","KSh 27,350"
Hikers Microwave Oven –KE-MOS20LG-Digital 20 Litres – Silver 20L 700W,"KSh 6,611"
Hisense REF094DR - 94 Liters Fridge - Silver (2YRs WRTY),"KSh 19,999"
Garnier Bright Complete Bundle Pack,"KSh 2,547"
NIVEA Nourishing Cocoa Body Lotion With Cocoa Butter 400ml (Pack Of 2),KSh 896
Garnier Even & Matte Vitamin  C Booster Serum 30ml.,"KSh 1,400"
UNCOVER Baobab Glow-C Serum - I Am Radiant,"KSh 3,150"
Rexona Antiperspirant Deodorant Roll On Quantum - 50ml,KSh 243
Dettol Dettol Soap Herbal 175g,KSh 254
L'Oreal GLYCOLIC BRIGHT INSTANT GLOWING SERUM 30ML,"KSh 1,725"
Nice & Lovely Baby Range Value Pack,"KSh 1,950"
NIVEA MEN Black & White Original Anti-Perspirant Rollon - 50ml (Pack Of 2),KSh 780
Maybelline Superstay Vinyl  Ink 55 Royal,"KSh 1,957"
Geisha Moringa Oil Soap 225G,KSh 116
Ecoa Char Stove,"KSh 2,999"
"Superfoam Luxury White Fiber Pillow 600gms ( 100% Pure Fiber, Soft Feel) 68 Cm X 43 Cm",KSh 299
Sundabest 1.5l Stainless Steel Vacuum Coffee Pot Vacuum Thermos Flask Kettle - Silver (130020176),KSh 699
Nunix 5 Layer Shoe Rack – black,KSh 449
Rashnik 7 Piece Kitchen Knife Set,KSh 599
Sun King Pico Plus Pack Of 2 SolarLight,"KSh 1,999"
TC Shoe Rack (36 Pairs) Grey,"KSh 2,299"
Rashnik Steel Cloth Drying Foldable Stand with Infinity Hooks,"KSh 1,680"
Nice One 6PCS 370ML High Quality Porcelain Tea Milk Coffee Ceramic Cups,KSh 549
"Rashnik 16"" 2 Layer Stainless Dish Drainer (RN-1605)",KSh 960
Nunix Nunix Aluminium Pressure Cooker - Explosion Proof - 5 Litres - Silver,"KSh 2,624"
Fashion Slipon Shoes Loafers Shoes Canvas Shoes Casual Shoes Mens Sneaker Black,KSh 568 - KSh 630
Fashion 4pcs Ladies Handbags Women Shoulder Tote Bags Set PU Leather-Black,KSh 689
Fashion 4Pairs Finest Cotton Freesize Unisex Plain Invisible Socks,KSh 198
Fashion Mens Long Sleeve Dress Shirts - White,KSh 551
Fashion Soft Slim-fit Stretchable Khaki Trouser For Men- Black,"KSh 1,099"
Fashion 17 Pcs Rings For Women Jewelry Finger Rings Sets,KSh 297
Fashion Women Shoes Sandals Heels Ladies Shoes Casual Shoes,KSh 889
Slim Fit Soft Khaki Pants - Beige,"KSh 1,149"
Fashion Sweatpants Pockets Pants Man Sweatpants Youthful Vitality Trousers Black,KSh 735
Fashion Women Bags Handbag Shoulder Women Bag  Mini Cross Body Bags Women Handbag,KSh 857
Fashion Europe And The United States Women's Fashion Long Sleeve Loose Dreeses,KSh 920
Fashion Men Shoes Loafers Casual Shoes Male Shoes Slip-On Shoes Business Loafers,KSh 789
"Fashion Sexiest Mock Neck Ribbed Bodycon Dress (Hips 36-44"" Fit)",KSh 495
Fashion Men'S Button Shirt  Men Casual Print Shirt  Long Sleeved Shirts.,KSh 800
Fashion Men's Long Sleeve Striped Shirt,KSh 551
RichRipple Neckband Wireless Bluetooth  Sports Type-C Earphone-Black,KSh 356
Fashion Shoes For Women Sneakers Ladies Shoes Sneakers,KSh 514
Fashion 4 PCS Women Bags Ladies Bags Handbags Purse Shoulder Bags Tote Bags,KSh 959
Fashion Men Shoes Sneakers Sport Shoes Casual Shoes Outdoor Shoes Running Shoes,"KSh 1,079"
